apartment id,rooms,total area,floor,complex rating,price
1,2,60.8,9,4.2,11.54
2,4,102.5,17,4.6,20.22
3,3,75.7,17,4.9,15.74
4,2,66.0,20,4.7,14.10
5,1,39.7,16,3.6,6.71
6,1,30.1,25,4.0,6.85
7,1,31.6,22,3.4,5.53
8,3,87.3,13,4.9,17.97
9,2,48.1,19,4.3,10.10
10,3,75.7,17,3.6,12.80
11,1,38.8,4,4.4,7.99
12,4,120.8,12,4.3,22.25
13,3,87.0,9,3.8,15.08
14,1,33.6,19,3.4,6.31
15,1,41.4,12,4.4,8.45
16,1,33.8,9,4.1,6.84
17,1,35.2,7,4.6,7.19
18,2,62.9,14,4.1,11.74
19,2,61.0,20,4.7,13.16
20,1,43.6,19,4.2,8.93
21,2,61.2,15,4.2,11.84
22,1,39.1,16,4.8,8.90
23,1,31.5,21,3.9,6.78
24,2,55.4,5,3.4,8.73
25,2,53.3,3,3.3,08.05
26,3,77.6,12,4.6,15.63
27,1,45.6,25,4.3,9.29
28,2,55.9,20,4.5,11.75
29,2,65.8,21,3.6,11.14
30,1,40.1,4,3.4,6.73
31,2,63.9,21,3.2,10.16
32,1,38.0,23,3.8,7.51
33,1,39.2,16,4.3,8.29
34,4,114.8,25,3.9,19.71
35,4,105.9,7,4.0,18.19
36,3,88.6,13,4.8,18.25
37,1,34.5,21,3.8,07.06
38,1,30.4,10,4.1,6.22
39,2,60.9,7,4.6,11.86
40,2,51.5,14,3.9,9.62
41,1,45.0,5,4.3,8.92
42,2,67.1,3,4.8,13.63
43,1,44.6,23,4.9,10.73
44,4,111.1,11,3.5,17.51
45,1,30.2,11,4.9,7.12
46,2,66.6,18,4.1,11.91
47,1,36.9,15,3.7,07.06
48,2,67.3,12,4.0,12.26
49,2,67.3,9,5.0,13.93
50,1,43.6,10,4.1,7.92
51,4,108.8,12,3.8,18.15
52,3,80.9,17,4.3,15.61
53,4,125.5,6,3.6,19.98
54,3,79.3,7,3.3,11.96
55,2,51.4,14,3.4,8.26
56,4,116.7,13,3.4,18.00
57,1,45.0,8,3.5,7.00
58,1,41.1,10,3.4,6.50
59,1,39.1,9,4.4,7.77
60,1,31.6,18,3.5,06.01
61,2,60.3,2,3.8,10.17
62,1,45.8,5,4.8,9.55
63,3,75.2,5,4.1,14.03
64,2,58.4,6,4.4,11.13
65,1,44.0,19,3.5,08.06
66,2,62.8,8,3.5,10.60
67,1,41.2,16,3.3,6.50
68,3,88.2,13,3.5,14.29
69,1,35.8,1,3.7,5.97
70,4,108.8,22,3.5,17.62
71,3,90.6,20,3.4,14.77
72,1,43.0,17,3.4,7.21
73,1,43.9,7,4.0,8.00
74,3,93.0,25,3.6,15.73
75,3,83.8,13,3.9,14.58
76,3,83.5,4,4.1,14.51
77,3,90.4,4,4.4,17.02
78,1,40.4,6,3.3,6.64
79,2,62.0,19,4.6,12.97
80,1,42.7,12,4.3,8.53
81,3,92.5,22,3.3,14.53
82,2,54.8,7,4.8,11.32
83,1,36.0,10,4.9,8.88
84,1,31.5,19,3.3,5.82
85,1,39.3,7,3.7,6.68
86,1,30.6,3,4.7,6.77
87,3,82.7,13,4.5,16.01
88,2,58.9,13,3.5,9.95
89,3,78.6,18,3.6,13.40
90,2,59.8,20,3.9,11.33
91,1,30.5,8,4.1,5.88
92,3,72.9,9,4.3,13.74
93,3,90.9,7,3.9,15.15
94,2,55.2,1,4.0,9.43
95,3,74.9,3,4.5,14.54
96,2,58.4,13,3.3,09.08
97,2,63.4,25,3.7,11.20
98,2,52.3,17,4.5,10.86
99,1,40.0,25,4.8,9.65
100,1,31.4,24,4.1,6.61
101,1,30.8,1,4.2,5.13
102,2,58.6,6,3.4,09.05
103,1,38.7,21,4.0,8.13
104,2,60.7,6,4.2,11.36
105,4,121.8,12,3.6,20.05
106,1,45.6,13,3.7,7.84
107,2,58.3,13,3.9,10.12
108,3,79.4,15,3.2,12.35
109,1,42.7,21,3.8,8.21
110,1,34.3,16,3.6,6.39
111,1,37.0,22,3.8,7.51
112,1,31.3,21,3.4,5.88
113,4,100.8,11,4.8,20.27
114,3,94.1,5,4.3,17.39
115,2,64.7,4,4.4,12.45
116,3,88.0,3,4.6,17.13
117,3,81.4,19,4.1,15.31
118,1,32.8,20,3.4,6.34
119,3,75.6,25,4.2,14.41
120,2,53.0,18,4.3,10.76
121,3,84.6,15,4.5,16.42
122,3,88.4,9,4.0,15.34
123,1,40.6,17,3.4,6.84
124,1,34.5,14,3.7,6.54
125,1,45.3,15,3.9,8.61
126,2,62.8,1,4.4,11.97
127,3,84.8,21,4.2,15.92
128,3,86.1,22,3.8,15.14
129,1,36.7,22,5.0,9.26
130,2,53.0,3,4.3,9.67
131,2,55.1,16,3.6,9.55
132,1,42.1,23,3.4,7.50
133,1,30.2,25,3.5,06.09
134,1,31.9,11,3.6,5.41
135,4,101.4,12,3.5,16.62
136,1,30.7,10,3.5,5.44
137,2,65.1,16,3.7,11.38
138,3,88.2,8,3.5,13.97
139,2,57.5,6,4.8,12.09
140,4,102.9,12,3.3,15.85
141,4,114.7,24,4.1,21.13
142,1,37.6,21,3.9,7.13
143,2,51.5,8,5.0,11.35
144,1,36.9,4,3.4,06.04
145,1,36.4,8,3.9,6.73
146,1,39.9,18,4.9,9.24
147,2,60.7,5,4.8,12.42
148,2,48.9,9,4.7,10.35
149,1,36.0,4,3.7,5.80
150,1,40.0,22,3.5,7.52
151,4,115.1,17,4.4,21.54
152,1,43.7,9,4.9,9.73
153,1,40.5,1,4.2,7.74
154,2,51.3,21,4.2,10.15
155,4,102.1,20,3.7,17.27
156,1,40.3,13,4.6,8.23
157,2,48.5,16,3.5,8.52
158,3,85.5,13,3.8,14.95
159,1,45.0,14,4.0,8.16
160,3,85.2,3,4.1,14.95
161,2,55.8,6,3.6,8.94
162,2,60.9,18,3.4,10.05
163,2,57.2,19,4.3,11.57
164,2,58.9,5,3.7,10.14
165,1,45.1,15,4.2,9.27
166,3,80.9,25,3.5,13.96
167,1,45.4,2,4.1,8.29
168,1,44.5,10,4.2,8.40
169,1,33.1,24,3.3,5.99
170,2,49.4,18,3.8,9.26
171,2,50.0,13,3.4,7.95
172,1,30.3,5,3.3,5.26
173,2,49.9,23,5.0,11.83
174,1,40.9,24,3.8,7.93
175,2,49.4,1,4.7,9.90
176,1,35.1,22,3.7,6.66
177,2,64.9,1,4.4,12.26
178,2,48.5,18,4.6,10.35
179,4,124.4,15,4.3,23.08
180,1,34.5,17,4.0,6.89
181,1,31.9,11,3.9,6.29
182,1,41.1,21,3.8,7.89
183,4,118.9,25,4.9,24.50
184,3,92.2,22,4.7,18.67
185,1,41.8,17,4.9,9.83
186,2,64.1,13,3.4,10.56
187,3,78.5,1,4.5,14.99
188,2,51.5,2,4.9,11.03
189,2,63.0,9,3.5,10.03
190,1,42.9,3,3.3,6.71
191,1,45.8,1,4.5,9.38
192,3,81.5,21,4.2,15.54
193,4,111.2,16,4.7,21.70
194,2,63.5,23,3.5,10.89
195,1,35.5,6,4.6,7.68
196,1,44.9,17,3.6,7.81
197,3,91.7,5,3.5,14.14
198,3,81.9,5,3.5,12.91
199,3,89.3,6,4.7,17.37
200,3,89.4,3,4.4,16.60
